date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:43	22619/22619	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:42%20GMT	https://www.budgetvanlines.com/	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/index.html	(from )
19:52:43	78/78	---M-Z	200	added ('OK')	text/plain	etag:%2259-5c0ab46c87185-gzip%22	https://www.budgetvanlines.com/robots.txt		(from )
19:52:44	25996/25996	---M-Z	200	added ('OK')	text/css	etag:%22658c-5c0ab47700ade-gzip%22	https://www.budgetvanlines.com/v2/css/layout.min.css	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/css/layout.min.css	(from https://www.budgetvanlines.com/)
19:52:45	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/2nd%20clone/www.google-analytics.com/analytics.js	(from https://www.budgetvanlines.com/)
19:52:45	1479/1479	---M-Z	200	added ('OK')	image/svg+xml	etag:%225c7-5c0ab47813167-gzip%22	https://www.budgetvanlines.com/v2/img/BVL-logo-icon.svg	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/BVL-logo-icon.svg	(from https://www.budgetvanlines.com/)
19:52:46	47069/47069	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b7dd-5c0ab4771df9c-gzip%22	https://www.budgetvanlines.com/v2/img/header/bvl_logo_with_slogan.svg	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/header/bvl_logo_with_slogan.svg	(from https://www.budgetvanlines.com/)
19:52:46	883/883	---M-Z	200	added ('OK')	image/svg+xml	etag:%22373-5c0ab4771435c-gzip%22	https://www.budgetvanlines.com/v2/img/header/Hamburger-Menu-icon.svg	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/header/Hamburger-Menu-icon.svg	(from https://www.budgetvanlines.com/)
19:52:46	350/350	---M--	200	added ('OK')	image/png	etag:%2215e-5c0ab477152fc%22	https://www.budgetvanlines.com/v2/img/header/zip-helper-icon-blue.png	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/header/zip-helper-icon-blue.png	(from https://www.budgetvanlines.com/)
19:52:47	1306/1306	---M-Z	200	added ('OK')	image/svg+xml	etag:%2251a-5c0ab47768315-gzip%22	https://www.budgetvanlines.com/v2/img/homepage/menu-close.svg	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/homepage/menu-close.svg	(from https://www.budgetvanlines.com/)
19:52:47	800/800	---M-Z	200	added ('OK')	image/svg+xml	etag:%22320-5c0ab47779c54-gzip%22	https://www.budgetvanlines.com/v2/img/homepage/mobile-phone-icon.svg	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/v2/img/homepage/mobile-phone-icon.svg	(from https://www.budgetvanlines.com/)
19:52:47	25223/25223	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:47%20GMT	https://www.budgetvanlines.com/customer-feedback	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/customer-feedback.html	(from https://www.budgetvanlines.com/)
19:52:48	26714/26714	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:48%20GMT	https://www.budgetvanlines.com/pricing	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/pricing.html	(from https://www.budgetvanlines.com/)
19:52:48	27235/27235	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:48%20GMT	https://www.budgetvanlines.com/carriers	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/carriers.html	(from https://www.budgetvanlines.com/)
19:52:48	20812/20812	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:48%20GMT	https://www.budgetvanlines.com/contact-us	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/contact-us.html	(from https://www.budgetvanlines.com/)
19:52:49	23360/23360	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:49%20GMT	https://www.budgetvanlines.com/household-moves	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/household-moves.html	(from https://www.budgetvanlines.com/)
19:52:49	23315/23315	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:49%20GMT	https://www.budgetvanlines.com/corporate-relocation	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/corporate-relocation.html	(from https://www.budgetvanlines.com/)
19:52:50	63130/63130	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:49%20GMT	https://www.budgetvanlines.com/your-rights	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/your-rights.html	(from https://www.budgetvanlines.com/)
19:52:50	20803/20803	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:50%20GMT	https://www.budgetvanlines.com/cancellation-policy	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/cancellation-policy.html	(from https://www.budgetvanlines.com/)
19:52:50	24113/24113	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:50%20GMT	https://www.budgetvanlines.com/moving-101	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/moving-101.html	(from https://www.budgetvanlines.com/)
19:52:50	27956/27956	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:50%20GMT	https://www.budgetvanlines.com/preparing-for-your-move	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/preparing-for-your-move.html	(from https://www.budgetvanlines.com/)
19:52:51	25763/25763	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:51%20GMT	https://www.budgetvanlines.com/self-service-vs-full-service	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/self-service-vs-full-service.html	(from https://www.budgetvanlines.com/)
19:52:51	27921/27921	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2002:52:51%20GMT	https://www.budgetvanlines.com/packing-the-right-way	C:/My%20Web%20Sites/2nd%20clone/www.budgetvanlines.com/packing-the-right-way.html	(from https://www.budgetvanlines.com/)
